ip_address,credit_card,date,currency
38.99.170.225,3534805970706660,8/28/2015,Euro
62.27.180.107,3586123682747510,5/5/2015,Ruble
202.132.167.6,201500623003932,1/9/2015,Euro
246.182.155.224,3563942398301792,12/24/2014,Euro
224.184.220.233,670950924855685674,5/31/2015,Pound
207.229.237.215,6759157008932108391,3/28/2015,Ruble
18.29.73.254,6304521001515345179,11/25/2014,Yuan Renminbi
48.234.141.198,4405753068406914,5/11/2015,Euro
70.102.243.220,3576341125441721,11/8/2014,Yuan Renminbi
48.118.112.95,3557701411968906,10/27/2014,Euro
5.64.237.145,3550116787898057,4/30/2015,Yuan Renminbi
122.8.85.250,5602249228601682,4/26/2015,Ruble
56.154.14.7,3558420109359109,4/27/2015,Franc
113.124.119.68,3574686740438243,3/24/2015,Euro
199.74.91.138,5265068831650094,12/28/2014,Dirham
57.236.156.70,5477528921081769,8/6/2015,Euro
139.149.88.216,5100177156391843,4/26/2015,Kyat
97.91.157.168,3575233010402473,11/19/2014,Real
27.228.38.164,675914844892300992,8/25/2015,Rupiah
185.85.201.21,6391783651788627,6/22/2015,Hryvnia
38.228.197.197,3553055345908494,7/12/2015,Yuan Renminbi
219.233.131.177,3556905483207116,7/18/2015,Yuan Renminbi
35.222.119.102,3542529406746138,5/17/2015,Ruble
38.11.75.133,3561815926128337,5/10/2015,Rupee
118.9.57.57,6709968098395691839,2/6/2015,Yuan Renminbi
239.116.156.108,201979577204870,10/16/2014,Euro
53.149.172.170,3560792399392040,1/14/2015,Dong
76.156.0.244,3578835131341757,11/14/2014,Pound
181.86.171.139,3532178465756794,7/10/2015,Manat
78.130.193.157,3548294498974130,11/17/2014,Sol
183.116.118.123,5602213783728819,12/1/2014,Lev
203.62.2.83,3564902500576367,7/21/2015,Euro
217.24.194.213,4405426662908367,9/13/2015,Dollar
224.11.202.173,337941197104176,5/31/2015,Ruble
133.138.160.61,340072041194182,1/5/2015,Taka
39.229.65.31,3570897667217783,11/2/2014,Euro
226.99.9.49,63047367403118520,10/2/2014,Yuan Renminbi
107.78.39.67,675929526616402096,8/4/2015,Yuan Renminbi
2.127.104.104,3543195806794299,7/24/2015,Rupiah
239.159.173.241,3566349315479130,9/7/2015,Pula
37.154.39.112,4175006785577782,9/17/2015,Yuan Renminbi
102.138.105.99,5602215625871848,6/15/2015,Leu
235.197.143.34,3589455012526629,4/10/2015,Krona
99.39.84.98,490546983217084616,1/28/2015,Shilling
2.205.184.57,3573421051684370,12/10/2014,Yuan Renminbi
9.64.10.49,56022208393173658,2/22/2015,Ruble
74.249.91.153,201613647979761,12/29/2014,Hryvnia
15.152.63.52,3566482983118381,3/15/2015,Yuan Renminbi
8.246.51.49,36320713294742,1/8/2015,Euro
27.129.213.16,3563762282921418,3/26/2015,Shilling
68.192.115.237,5497263223117063,3/11/2015,Krona
40.130.74.57,3573056258860512,5/9/2015,Real
178.142.137.140,201957355228857,7/22/2015,Rupiah
11.247.24.94,5002352037485119,10/16/2014,Yuan Renminbi
133.68.66.163,4666396549507,2/25/2015,Euro
139.128.61.85,3585254304601677,1/6/2015,Euro
54.227.67.221,67632370251318939,6/7/2015,Rupiah
131.244.41.222,6399284804525182,3/11/2015,Real
43.95.141.133,3565939947772737,1/3/2015,Real
180.255.52.102,677161791294338367,2/15/2015,Yuan Renminbi
13.3.195.102,560224231395868312,6/10/2015,Yuan Renminbi
79.99.150.171,3588785544113665,7/8/2015,Yuan Renminbi
28.123.173.58,5602256105525397,6/16/2015,Pound
195.177.244.233,3571480093508262,3/1/2015,Won
71.155.28.214,5602222448277427,7/20/2015,Krona
38.242.52.236,374622953765608,5/9/2015,Zloty
199.117.190.13,374622174310457,8/5/2015,Rupiah
146.223.163.173,371187694892981,5/27/2015,Yuan Renminbi
20.159.10.72,3562630174233351,1/12/2015,Yuan Renminbi
171.45.245.234,3553604984467468,12/27/2014,Euro
181.45.77.68,5018765350618283,11/8/2014,Yuan Renminbi
69.124.91.137,3530230166897237,1/22/2015,Balboa
85.255.47.22,3541753114607082,12/6/2014,Real
204.212.174.86,201670411818740,5/20/2015,Ruble
225.119.133.177,30594275227219,2/3/2015,Rupiah
227.82.154.59,6331104850514529,9/4/2015,Euro
192.133.70.97,677138397436738454,11/11/2014,Sol
66.26.188.96,3530781413950153,1/6/2015,Yuan Renminbi
200.34.161.110,675924140621119631,9/12/2015,Euro
241.36.5.128,4703158473574,3/30/2015,Kyat
169.108.89.233,5232346551389253,7/10/2015,Yuan Renminbi
6.16.224.72,3543734852713322,3/9/2015,Won
203.241.3.252,372301536497250,3/9/2015,Sol
173.171.118.71,6386554977549432,12/3/2014,Ruble
156.175.94.44,30223250564467,10/18/2014,Yuan Renminbi
175.7.54.199,3578183053804936,7/8/2015,Yuan Renminbi
231.183.86.229,3581835669787913,7/6/2015,Euro
235.56.52.10,3582687381319627,12/18/2014,Zloty
63.129.228.252,3563261199664716,9/15/2015,Sol
119.162.235.47,5557902668798864,9/4/2015,Euro
193.96.56.36,3575415948630537,7/18/2015,Yuan Renminbi
198.114.217.30,3561690102042010,4/18/2015,Rupiah
234.161.78.108,4913372613066159,4/5/2015,Won
35.178.132.167,3578017523119006,9/22/2015,Yuan Renminbi
0.233.20.85,346552301596469,7/22/2015,Euro
223.132.6.123,3558914179151792,6/19/2015,Hryvnia
220.126.249.106,3542473919444073,11/30/2014,Rial
78.52.145.247,3570206517371123,5/9/2015,Yuan Renminbi
222.5.56.28,3575005406611663,12/9/2014,Yuan Renminbi
218.101.124.48,5100138230708261,9/22/2015,Baht
